,Train_loss,Val_loss,Accuracy,n_correct,n_samples
0,18012.696394592524,,,,
1,16775.826124727726,,,,
2,15772.980144739151,,,,
3,14386.929222077131,,,,
4,13072.461776584387,10800.896336734295,0.37775755515110304,37775,99998
5,12038.491264402866,,,,
6,11191.583879232407,,,,
7,10488.554078787565,,,,
8,9919.88518539071,,,,
9,9398.965988233685,16941.05326384306,0.37351747034940697,37351,99998
10,9022.636760391295,,,,
11,8637.376819193363,,,,
12,8313.064212180674,,,,
13,8081.360792949796,,,,
14,7873.233432278037,17860.851771116257,0.373337466749335,37333,99998
15,7660.252689257264,,,,
16,7528.265939112753,,,,
17,7380.636047173291,,,,
18,7263.888495748863,,,,
19,7132.489435337484,18390.760136902332,0.37770755415108304,37770,99998
20,7046.982534836978,,,,
21,6916.947142791003,,,,
22,6831.035236489028,,,,
23,6775.102679092437,,,,
24,6668.856379792094,19924.391347527504,0.3865277305546111,38652,99998
25,6612.446113711689,,,,
26,6538.71500277333,,,,
27,6491.522522751242,,,,
28,6413.919584102929,,,,
29,6372.76066057384,21203.952445030212,0.38236764735294704,38236,99998
30,6326.17826057598,,,,
31,6278.561738971621,,,,
32,6237.038173310459,,,,
33,6177.721339657903,,,,
34,6124.177349735051,20596.02081644535,0.375077501550031,37507,99998
35,6099.984461482614,,,,
36,6022.336899496615,,,,
37,6015.608510343358,,,,
38,5984.248627473484,,,,
39,5961.444105152041,21196.20998209715,0.37796755935118703,37796,99998
40,5907.918212939054,,,,
41,5866.142827222124,,,,
42,5820.199802341624,,,,
43,5783.627718016505,,,,
44,5773.0558910518885,19362.29329481721,0.378957579151583,37895,99998
45,5797.033579682931,,,,
46,5725.079057859257,,,,
47,5723.101912800223,,,,
48,5721.30959540233,,,,
49,5652.098673345288,22084.307814240456,0.371457429148583,37145,99998
50,5594.922406459809,,,,
51,5652.209354599938,,,,
52,5590.578144180123,,,,
53,5538.109719328582,,,,
54,5582.559427105822,23115.702870488167,0.375497509950199,37549,99998
55,5493.23296888452,,,,
56,5491.043560341001,,,,
57,5479.016196383163,,,,
58,5409.902862678282,,,,
59,5472.737545634038,23990.3810120821,0.377477549550991,37747,99998
60,5352.09127410478,,,,
61,5356.732084572315,,,,
62,5361.855154563267,,,,
63,5339.266381055873,,,,
64,5298.224950675853,24528.463047504425,0.37099741994839897,37099,99998
65,5300.378174019177,,,,
66,5360.370939254761,,,,
67,5255.820146966493,,,,
68,5220.715829696041,,,,
69,5192.308875208721,27340.99570709467,0.372507450149003,37250,99998
70,5195.477852264899,,,,
71,5183.4155527919065,,,,
72,5189.768774520606,,,,
73,5146.182851604186,,,,
74,5190.377580943314,24361.368650615215,0.376197523950479,37619,99998
75,5104.014056739863,,,,
76,5085.275948611088,,,,
77,5084.114065325353,,,,
78,5084.255221375264,,,,
79,5051.365611281944,28967.91413193941,0.373727474549491,37372,99998
80,5097.8161082537845,,,,
81,5105.200067750906,,,,
82,5044.931059923023,,,,
83,5019.665306184441,,,,
84,5007.126461719163,26132.41013509035,0.373177463549271,37317,99998
85,5088.903807898983,,,,
86,4975.345135199255,,,,
87,4987.460012111347,,,,
88,4922.8160673961975,,,,
89,5011.3510117301485,24242.395410597324,0.373607472149443,37360,99998
90,4898.945849866868,,,,
91,4887.159590667579,,,,
92,4922.047625541221,,,,
93,4867.2795634393115,,,,
94,4919.662726326846,27873.933064699173,0.372387447748955,37238,99998
95,4942.913159244228,,,,
96,4791.140187578276,,,,
97,4807.795123373609,,,,
98,4816.992466937016,,,,
99,4851.292665468063,32321.41398102045,0.372237444748895,37223,99998
100,4768.094049852341,,,,
101,4797.473825567169,,,,
102,4762.358491052815,,,,
103,4733.251655668952,,,,
104,4773.076877533778,27819.97568053007,0.37832756655133104,37832,99998
105,4714.210295652825,,,,
106,4731.246637240314,,,,
107,4759.94630534944,,,,
108,4692.81363523702,,,,
109,4712.281422875356,30005.56430092454,0.374677493549871,37467,99998
110,4666.139537872747,,,,
111,4699.046170856804,,,,
112,4718.864466944855,,,,
113,4655.953055080376,,,,
114,4691.947644302156,34724.23849993944,0.372147442948859,37214,99998
115,4697.8769139075885,,,,
116,4625.0128909557825,,,,
117,4608.196981467307,,,,
118,4589.526763031681,,,,
119,4667.7524270454305,29371.074908971786,0.37482749654993097,37482,99998
120,4623.386704597215,,,,
121,4583.945536186027,,,,
122,4555.904344041832,,,,
123,4589.057944708133,,,,
124,4592.970365470945,32127.98881804943,0.37065741314826295,37065,99998
125,4575.873031145966,,,,
126,4552.299333439165,,,,
127,4522.683907551225,,,,
128,4521.048521985998,,,,
129,4542.8242963366065,29523.453337311745,0.373917478349567,37391,99998
130,4542.163189366751,,,,
131,4664.962650306414,,,,
132,4546.100025716936,,,,
133,4458.602467366203,,,,
134,4485.169382407796,34585.57915747166,0.370697413948279,37069,99998
135,4480.545292304625,,,,
136,4508.829336896928,,,,
137,4461.959195618285,,,,
138,4561.540054302313,,,,
139,4469.915652437834,28837.04103463888,0.36825736514730295,36825,99998
140,4490.885626549774,,,,
141,4445.878280205332,,,,
142,4503.917195040514,,,,
143,4435.131950353505,,,,
144,4450.3355634427735,32492.496508181095,0.370027400548011,37002,99998
145,4386.526996795845,,,,
146,4432.599806298662,,,,
147,4382.90089717228,,,,
148,4331.512198030308,,,,
149,4496.944553616107,33057.04804062843,0.36601732034640694,36601,99998
150,4476.530574501492,,,,
151,4365.750613796874,,,,
152,4456.56327815284,,,,
153,4342.759207239273,,,,
154,4367.299722816097,34110.6507191658,0.37289745794915896,37289,99998
155,4378.540067974514,,,,
156,4312.5847640774955,,,,
157,4313.068922037865,,,,
158,4384.434369201306,,,,
159,4308.8293198202155,35703.80983915925,0.373917478349567,37391,99998
160,4308.94436611823,,,,
161,4281.800952805032,,,,
162,4364.222143651274,,,,
163,4419.767187478421,,,,
164,4308.130103465344,29990.707295000553,0.373907478149563,37390,99998
165,4335.727560226107,,,,
166,4345.52594398427,,,,
167,4245.030720773182,,,,
168,4256.1377752421095,,,,
169,4237.404181153412,33658.289038300514,0.375477509550191,37547,99998
170,4249.072965324682,,,,
171,4217.933993498562,,,,
172,4328.941062942238,,,,
173,4317.58478927004,,,,
174,4264.112167735249,35404.770903646946,0.37208744174883496,37208,99998
175,4207.46239664669,,,,
176,4216.797713517546,,,,
177,4307.035044011893,,,,
178,4306.942020016722,,,,
179,4254.307380592538,34142.92474400997,0.36860737214744294,36860,99998
180,4286.5645540867845,,,,
181,4231.545491772631,,,,
182,4190.353712368284,,,,
183,4203.1302654787,,,,
184,4188.467531778191,35233.677362680435,0.371167423348467,37116,99998
185,4269.934440090903,,,,
186,4218.572275501327,,,,
187,4139.020580447046,,,,
188,4151.9324448739535,,,,
189,4262.018174210636,36238.83741927147,0.37160743214864295,37160,99998
190,4286.60331440765,,,,
191,4137.698499923979,,,,
192,4128.221971443747,,,,
193,4127.480556627608,,,,
194,4131.9313973262615,34314.660249590874,0.37163743274865496,37163,99998
195,4251.408321228984,,,,
196,4269.798584491018,,,,
197,4137.145754763609,,,,
198,4164.321750108811,,,,
199,4204.1735766817,32722.35342782736,0.371787435748715,37178,99998
